time,z_pos,rotation,z_target,rz_target
0.0,0.08097,0.0,-0.105,0.2862690556235201
0.020737409591674805,0.08095,0.00010368704795837402,-0.105,0.2862690556235201
0.041408538818359375,0.08093,0.0003103983402252197,-0.105,0.2862690556235201
0.0619359016418457,0.08097,0.0006183087825775146,-0.105,0.2862690556235201
0.08260202407836914,0.08102,0.0010316312313079835,-0.105,0.2862690556235201
0.10354900360107422,0.08103,0.0015553057193756106,-0.105,0.2862690556235201
0.12444567680358887,0.08105,0.00218220591545105,-0.105,0.2862690556235201
0.14564752578735352,0.08104,0.0029242706298828127,-0.105,0.2862690556235201
0.1664443016052246,0.081,0.0037561416625976566,-0.105,0.2862690556235201
0.18722891807556152,0.08095,0.004691449403762818,-0.105,0.2862690556235201
0.2078697681427002,0.08083,0.0057234919071197515,-0.105,0.2862690556235201
0.22845458984375,0.08075,0.006855657100677491,-0.105,0.2862690556235201
0.24930334091186523,0.08062,0.008106582164764405,-0.105,0.2862690556235201
0.27075958251953125,0.08042,0.009501237869262696,-0.105,0.2862690556235201
0.29268574714660645,0.08021,0.01103606939315796,-0.105,0.2862690556235201
0.3136026859283447,0.08009,0.012604839801788332,-0.105,0.2862690556235201
0.3341364860534668,0.07992,0.014247543811798097,-0.105,0.2862690556235201
0.3547780513763428,0.07959,0.016002076864242556,-0.105,0.2862690556235201
0.37549304962158203,0.07943,0.01786642670631409,-0.105,0.2862690556235201
0.39651036262512207,0.07922,0.019863071441650393,-0.105,0.2862690556235201
0.4172821044921875,0.07882,0.021940245628356937,-0.105,0.2862690556235201
0.4381749629974365,0.07859,0.024133995771408085,-0.105,0.2862690556235201
0.45922374725341797,0.07833,0.026449362039566045,-0.105,0.2862690556235201
0.4797194004058838,0.07783,0.028806362152099616,-0.105,0.2862690556235201
0.5009617805480957,0.07755,0.031355447769165046,-0.105,0.2862690556235201
0.5221500396728516,0.07731,0.03400398015975953,-0.105,0.2862690556235201
0.5432679653167725,0.07703,0.036749310493469245,-0.105,0.2862690556235201
0.5643339157104492,0.07645,0.03959321379661561,-0.105,0.2862690556235201
0.5854973793029785,0.07617,0.04255609869956971,-0.105,0.2862690556235201
0.6066710948944092,0.07589,0.04562628746032715,-0.105,0.2862690556235201
0.6273882389068604,0.07523,0.04873385906219483,-0.105,0.2862690556235201
0.6486589908599854,0.07484,0.05203082561492921,-0.105,0.2862690556235201
0.669287919998169,0.07445,0.05533145427703858,-0.105,0.2862690556235201
