time,z_pos,rotation,z_speed,rz_speed,z_target,rz_target,delta_rz_speed
0.0,0.08101,0.0,-0.0001,0.001,-0.105,-0.504432915146371,0.001
0.02153778076171875,0.08098,-2.153778076171875e-05,-0.0001,0.001,-0.105,-0.504432915146371,0.0
0.0421144962310791,0.08091,-4.2114496231079106e-05,-0.0001,0.001,-0.105,-0.504432915146371,0.0
0.06254076957702637,0.08094,-6.254076957702638e-05,-0.0001,0.0014684673173579598,-0.105,-0.504432915146371,0.00046846731735795976
0.08328580856323242,0.08096,-9.300418132558667e-05,-0.0001,0.0021811198211274317,-0.105,-0.504432915146371,0.0007126525037694719
0.10385727882385254,0.08095,-0.0001378730228607587,-0.0031,0.003227638778830443,-0.105,-0.504432915146371,0.0010465189577030113
0.12445926666259766,0.08089,-0.00020436879773008562,-0.0060999999999999995,0.0047717513834674985,-0.105,-0.504432915146371,0.0015441126046370555
0.1451098918914795,0.08085,-0.0003029084472354714,-0.0091,0.007045040996250511,-0.105,-0.504432915146371,0.0022732896127830122
0.16643619537353516,0.0808,-0.0004496140676899049,-0.0121,0.010396770357000904,-0.105,-0.504432915146371,0.0033517293607503934
0.18710827827453613,0.08054,-0.0006697597626481064,-0.015099999999999999,0.01535376669431952,-0.105,-0.504432915146371,0.004956996337318616
0.20766329765319824,0.08028,-0.000985356734585301,-0.018099999999999998,0.022310767141392105,-0.105,-0.504432915146371,0.006957000447072585
0.2285315990447998,0.08002,-0.0014509445475697122,-0.021099999999999997,0.032261448672913653,-0.105,-0.504432915146371,0.009950681531521548
0.24943757057189941,0.07974,-0.0021254014749486306,-0.024099999999999996,0.04603994967259841,-0.105,-0.504432915146371,0.013778500999684758
0.27043676376342773,0.07912,-0.0030922032726517657,-0.027099999999999996,0.06454877115128911,-0.105,-0.504432915146371,0.0185088214786907
0.29137277603149414,0.07868,-0.004443597137363765,-0.030099999999999995,0.08815395615003725,-0.105,-0.504432915146371,0.02360518499874814
0.31169772148132324,0.07827,-0.006235321487299899,-0.0331,0.11579359589283929,-0.105,-0.504432915146371,0.027639639742802036
0.3324923515319824,0.07728,-0.00864320647612702,-0.0361,0.14726221245524906,-0.105,-0.504432915146371,0.031468616562409776
0.3531346321105957,0.0768,-0.011683034384255631,-0.0391,0.17930110639265548,-0.105,-0.504432915146371,0.032038893937406415
0.3736405372619629,0.07619,-0.01535976586547862,-0.042100000000000005,0.20902620997156954,-0.105,-0.504432915146371,0.02972510357891406
0.39449381828308105,0.07495,-0.019718648162795012,-0.04510000000000001,0.23468836245010669,-0.105,-0.504432915146371,0.025662152478537148
0.4151170253753662,0.0743,-0.024558674863752843,-0.04810000000000001,0.2544977523424402,-0.105,-0.504432915146371,0.019809389892333523
0.43572425842285156,0.07346,-0.02980316935633472,-0.05110000000000001,0.2689037487335745,-0.105,-0.504432915146371,0.014405996391134268
0.4563257694244385,0.07264,-0.03534299289423742,-0.054100000000000016,0.2788349196662124,-0.105,-0.504432915146371,0.0099311709326379
0.4768073558807373,0.07094,-0.041053974408416086,-0.05710000000000002,0.2853919128910172,-0.105,-0.504432915146371,0.006556993224804797
0.49723172187805176,0.07005,-0.046882923289975904,-0.06010000000000002,0.2896286466358777,-0.105,-0.504432915146371,0.004236733744860499
0.5180587768554688,0.06916,-0.05291503503649621,-0.06310000000000002,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.5387835502624512,0.06819,-0.058917523110195755,-0.06610000000000002,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.5594284534454346,0.06615,-0.06489687847901196,-0.06910000000000002,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.5801205635070801,0.06509,-0.07088990631220697,-0.07210000000000003,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.6008713245391846,0.06405,-0.07689992114659991,-0.07510000000000003,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.6217076778411865,0.06186,-0.08293472595428573,-0.07810000000000003,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.6421024799346924,0.06059,-0.0888416448830344,-0.08110000000000003,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.6642701625823975,0.05929,-0.09526204080734285,-0.08410000000000004,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.6854054927825928,0.05662,-0.10138343788942782,-0.08710000000000004,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.7060613632202148,0.05524,-0.10736596968936234,-0.09010000000000004,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.7264103889465332,0.05384,-0.11325963047083458,-0.09310000000000004,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.7481741905212402,0.05082,-0.11956305086656877,-0.09610000000000005,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.7693116664886475,0.04923,-0.12568506942430732,-0.09910000000000005,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.7899763584136963,0.04768,-0.13167015617970657,-0.10210000000000005,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.8104426860809326,0.04614,-0.13759779096357463,-0.10510000000000005,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.8309531211853027,0.04302,-0.14353820052476635,-0.10810000000000006,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.8513414859771729,0.04136,-0.14944325502655426,-0.11110000000000006,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.8743131160736084,0.0396,-0.15609649716240487,-0.11410000000000006,0.2896286466358777,-0.105,-0.504432915146371,0.0
0.8949127197265625,0.03589,-0.16206273248964545,-0.11710000000000007,0.2896286466358777,-0.105,-0.504432915146371,0.0
