time,z_pos,rotation,z_target,rz_target
0.0,0.08097,-0.5335313011998584,0.18597,0.5335313011998584
0.020722150802612305,0.08102,-0.5334276904458453,0.18597,0.5335313011998584
0.04125499725341797,0.08102,-0.5332223619813372,0.18597,0.5335313011998584
0.06344246864318848,0.08102,-0.5328895499104906,0.18597,0.5335313011998584
0.08420228958129883,0.081,-0.5324743534917284,0.18597,0.5335313011998584
0.10458874702453613,0.08102,-0.5319646920556476,0.18597,0.5335313011998584
0.1252748966217041,0.08101,-0.5313441075677325,0.18597,0.5335313011998584
0.14599323272705078,0.081,-0.5306189658040453,0.18597,0.5335313011998584
0.16679930686950684,0.08092,-0.5297867228383472,0.18597,0.5335313011998584
0.18736624717712402,0.08086,-0.5288612105245044,0.18597,0.5335313011998584
0.2077023983001709,0.08075,-0.527844402968352,0.18597,0.5335313011998584
0.22850394248962402,0.08068,-0.526700318037932,0.18597,0.5335313011998584
0.2493603229522705,0.08059,-0.5254489352101733,0.18597,0.5335313011998584
0.27048397064208984,0.08042,-0.5240758981103351,0.18597,0.5335313011998584
0.2912890911102295,0.08031,-0.5226195396775652,0.18597,0.5335313011998584
0.31185221672058105,0.08018,-0.5210773052567889,0.18597,0.5335313011998584
0.3322780132293701,0.08006,-0.5194432415360858,0.18597,0.5335313011998584
0.35277771949768066,0.07972,-0.5177007665032793,0.18597,0.5335313011998584
0.37332797050476074,0.07953,-0.5158512439126421,0.18597,0.5335313011998584
0.3938777446746826,0.07937,-0.5138990153664996,0.18597,0.5335313011998584
0.41428232192993164,0.07894,-0.5118585576409747,0.18597,0.5335313011998584
0.4350700378417969,0.07874,-0.5096758474702289,0.18597,0.5335313011998584
0.4557678699493408,0.0785,-0.507399085938399,0.18597,0.5335313011998584
0.4763455390930176,0.07824,-0.5050326539868761,0.18597,0.5335313011998584
0.4968085289001465,0.07773,-0.5025770952100207,0.18597,0.5335313011998584
0.5173518657684326,0.07745,-0.5000091781014849,0.18597,0.5335313011998584
0.5378801822662354,0.0772,-0.4973404969567706,0.18597,0.5335313011998584
0.558438777923584,0.0769,-0.4945650865430285,0.18597,0.5335313011998584
0.5789461135864258,0.07627,-0.49169405955023066,0.18597,0.5335313011998584
0.5999939441680908,0.07594,-0.48864212411588925,0.18597,0.5335313011998584
0.6211466789245605,0.07561,-0.48546921390241876,0.18597,0.5335313011998584
0.6416993141174316,0.07488,-0.48228355544752377,0.18597,0.5335313011998584
0.6642763614654541,0.07453,-0.4786712278718402,0.18597,0.5335313011998584
0.6853151321411133,0.07411,-0.47519983071035643,0.18597,0.5335313011998584
0.7057023048400879,0.07337,-0.4717340113515307,0.18597,0.5335313011998584
0.7262320518493652,0.07297,-0.4681413056249072,0.18597,0.5335313011998584
0.7470180988311768,0.07254,-0.46439981716818113,0.18597,0.5335313011998584
0.7685635089874268,0.07191,-0.46041391628927486,0.18597,0.5335313011998584
0.7890663146972656,0.07126,-0.45651838320440546,0.18597,0.5335313011998584
0.809760570526123,0.0708,-0.45248300331777824,0.18597,0.5335313011998584
0.8303158283233643,0.07028,-0.44837195175833,0.18597,0.5335313011998584
0.8507330417633057,0.0693,-0.44418642300314204,0.18597,0.5335313011998584
0.8722922801971436,0.06876,-0.4396589829320361,0.18597,0.5335313011998584
0.8928384780883789,0.06826,-0.43524155038542045,0.18597,0.5335313011998584
0.9134297370910645,0.06724,-0.4307114734048296,0.18597,0.5335313011998584
0.9338834285736084,0.06668,-0.42610939282125726,0.18597,0.5335313011998584
0.9544315338134766,0.06614,-0.42138332861608757,0.18597,0.5335313011998584
0.9750492572784424,0.06556,-0.4165381636018206,0.18597,0.5335313011998584
0.9960815906524658,0.06444,-0.41149040359205497,0.18597,0.5335313011998584
1.016566276550293,0.06388,-0.4065832167607961,0.18597,0.5335313011998584
1.0371036529541016,0.06329,-0.40169689359804356,0.18597,0.5335313011998584
1.058830738067627,0.06199,-0.39656575307543673,0.18597,0.5335313011998584
1.0806481838226318,0.0613,-0.3914568216942083,0.18597,0.5335313011998584
1.101499080657959,0.06062,-0.38661881080997773,0.18597,0.5335313011998584
1.1224164962768555,0.0592,-0.3818106257586573,0.18597,0.5335313011998584
1.1429595947265625,0.05849,-0.3771353975560684,0.18597,0.5335313011998584
1.1638636589050293,0.05775,-0.3724270845870124,0.18597,0.5335313011998584
1.1849133968353271,0.05618,-0.3677383458016319,0.18597,0.5335313011998584
1.2054977416992188,0.05537,-0.36320681677297106,0.18597,0.5335313011998584
1.2260262966156006,0.05451,-0.35874153702546885,0.18597,0.5335313011998584
1.24686861038208,0.05366,-0.35426426139212075,0.18597,0.5335313011998584
1.2679085731506348,0.0518,-0.34980369270735057,0.18597,0.5335313011998584
1.288891077041626,0.05089,-0.34541625018582645,0.18597,0.5335313011998584
1.309380292892456,0.04996,-0.3411924923083498,0.18597,0.5335313011998584
1.3301732540130615,0.04812,-0.33696711212945024,0.18597,0.5335313011998584
1.350935935974121,0.04719,-0.3328105707645908,0.18597,0.5335313011998584
1.37449312210083,0.04621,-0.3281664357997859,0.18597,0.5335313011998584
1.395324945449829,0.04417,-0.32413245444928335,0.18597,0.5335313011998584
1.4161121845245361,0.04313,-0.32017180760769226,0.18597,0.5335313011998584
1.4368345737457275,0.04215,-0.3162881744878666,0.18597,0.5335313011998584
1.4598731994628906,0.04023,-0.3120422982373282,0.18597,0.5335313011998584
1.4805843830108643,0.03921,-0.3082972892282565,0.18597,0.5335313011998584
1.5014948844909668,0.03816,-0.3045813937266448,0.18597,0.5335313011998584
