part_number,part_rotation,distance_traveled,time_ident_stop,time_speed_est_start,time_speed_est_stop,time_catch_start,time_catch_stop
0,19.71934000651042,0.73627,0.31238,0.31238,1.81252,1.81252,7.99688
1,-23.568545023600265,0.7356499999999999,0.30882,0.30882,2.10565,2.10565,8.17486
2,30.1068115234375,0.7746899999999999,0.28458,0.28458,1.60449,1.60449,8.53393
0,-0.8057861328125,0.81862,0.29582,0.29582,2.10272,2.10272,9.10041
1,11.537614186604813,0.75276,0.29724,0.29724,2.08267,2.08267,8.1937
2,19.219477971394852,0.7825200000000001,0.30116,0.30116,1.59508,1.59508,8.08841
0,19.895821889241535,0.74117,0.28473,0.28473,1.88633,1.88633,8.10048
1,-23.449358622233078,0.7390800000000001,0.32025,0.32025,1.99144,1.99144,8.0968
0,-30.572338104248043,0.74673,0.30253,0.30253,1.80908,1.80908,8.00156
2,-53.96537399291992,0.71965,0.2985,0.2985,1.59785,1.59785,7.73125
1,19.244653701782227,0.73757,0.30152,0.30152,1.89706,1.89706,7.90707
2,34.93063227335612,0.7273499999999999,0.28298,0.28298,1.60101,1.60101,8.00418
1,-12.814557393391922,0.74995,0.29936,0.29936,2.0971,2.0971,8.19824
0,16.86213207244873,0.75497,0.30984,0.30984,1.93529,1.93529,8.2797
1,20.78184827168782,0.76662,0.32039,0.32039,1.81072,1.81072,8.24353
0,-26.554916381835938,0.75816,0.29493,0.29493,1.90322,1.90322,8.29786
2,16.84424527486165,0.75031,0.30342,0.30342,1.72902,1.72902,8.1266
0,26.775187174479164,0.7605,0.29514,0.29514,1.89637,1.89637,8.38284
1,-24.033002217610672,0.7441899999999999,0.29977,0.29977,1.88623,1.88623,7.99419
2,34.677825927734375,0.81055,0.3176,0.3176,1.60629,1.60629,8.6495
2,-5.891529083251953,0.71533,0.31811,0.31811,1.71352,1.71352,8.05193
0,-16.243085225423172,0.7472599999999999,0.27446,0.27446,1.69129,1.69129,8.00725
1,49.0062255859375,0.74316,0.31356,0.31356,2.0845,2.0845,8.2487
0,36.10183588663737,0.72979,0.29037,0.29037,1.80239,1.80239,7.884
2,17.977538108825684,0.74666,0.32868,0.32868,1.60958,1.60958,7.98743
0,20.516888936360672,0.75002,0.32444,0.32444,1.82255,1.82255,8.10212
1,30.764004389444985,0.74581,0.30253,0.30253,1.81106,1.81106,7.89623
1,-14.405260721842453,0.7451399999999999,0.31779,0.31779,2.0978,2.0978,8.2504
2,39.94861348470052,0.7477699999999999,0.3009,0.3009,1.61748,1.61748,8.36685
0,-35.14362462361654,0.75169,0.28978,0.28978,1.8977,1.8977,8.22011
2,8.788289229075119,0.74499,0.29344,0.29344,1.68216,1.68216,8.15834
1,-34.244284311930336,0.74613,0.31146,0.31146,1.99513,1.99513,8.1775
0,-29.72439320882162,0.7418800000000001,0.29218,0.29218,1.68921,1.68921,7.9737
2,27.809008280436196,0.76559,0.28499,0.28499,1.59455,1.59455,8.17069
1,18.97355206807454,0.7397900000000001,0.31047,0.31047,2.02631,2.02631,8.13291
0,0.6220826109250339,0.7195499999999999,0.26964,0.26964,1.97778,1.97778,7.96798
0,29.329473495483402,0.77666,0.30527,0.30527,1.81016,1.81016,8.39896
1,26.21780776977539,0.7409100000000001,0.30785,0.30785,1.99361,1.99361,8.11215
2,-37.12049865722657,0.80376,0.30363,0.30363,1.79281,1.79281,8.8855
1,21.6069278717041,0.75276,0.3158,0.3158,2.01595,2.01595,8.23437
2,-16.509014129638672,0.72904,0.31435,0.31435,1.61261,1.61261,8.02566
0,-36.15974426269531,0.76628,0.29082,0.29082,1.97991,1.97991,8.20922
1,19.875941594441727,0.7490399999999999,0.29605,0.29605,2.18609,2.18609,8.29972
0,41.521063486735024,0.7498900000000001,0.26597,0.26597,1.98736,1.98736,8.20759
1,32.112454096476235,0.74342,0.30856,0.30856,1.69133,1.69133,7.79829
2,14.994571367899583,0.7514299999999999,0.31089,0.31089,1.57928,1.57928,8.10636
0,-48.54476547241211,0.90762,0.27557,0.27557,1.90443,1.90443,9.88859
0,5.103998025258377,0.74099,0.31296,0.31296,1.91772,1.91772,8.20988
1,-32.81040573120117,0.7387999999999999,0.2897,0.2897,1.89689,1.89689,7.99204
2,0.13355441888172948,0.74919,0.29088,0.29088,1.69991,1.69991,8.12607
1,-39.30317942301433,0.78186,0.31079,0.31079,2.14371,2.14371,8.63514
0,26.51410929361979,0.9286099999999999,0.30079,0.30079,1.92158,1.92158,9.86029
1,-50.81435902913412,0.72172,0.2951,0.2951,2.10274,2.10274,8.0278
1,-34.81436284383138,0.74732,0.30086,0.30086,2.00301,2.00301,8.11891
0,-30.928840637207028,0.7733300000000001,0.28164,0.28164,1.67372,1.67372,8.32802
0,-8.475809733072923,0.77151,0.31225,0.31225,1.92022,1.92022,8.57889
1,20.148983637491867,0.74573,0.25433,0.25433,1.87052,1.87052,7.99264
