time,z_pos,rotation,z_speed,rz_speed,z_target,rz_target,delta_rz_speed
0.0,0.08099,0.0,-0.003,0.001,-0.105,-0.405230852524201,0.001
0.020556211471557617,0.08099,-2.055621147155762e-05,-0.006,0.001,-0.105,-0.405230852524201,0.0
0.04129147529602051,0.08097,-4.129147529602051e-05,-0.009000000000000001,0.0010170130455417566,-0.105,-0.405230852524201,1.701304554175653e-05
0.062123775482177734,0.08077,-6.247819635398438e-05,-0.012,0.0015372371448748889,-0.105,-0.405230852524201,0.0005202240993331323
0.08255648612976074,0.08058,-9.388811813192962e-05,-0.015,0.002306484991467111,-0.105,-0.405230852524201,0.0007692478465922219
0.10309052467346191,0.08037,-0.00014124956984718355,-0.018,0.0034618953126525423,-0.105,-0.405230852524201,0.0011554103211854315
0.12367606163024902,0.08017,-0.0002125145437463205,-0.020999999999999998,0.005190298976469947,-0.105,-0.405230852524201,0.0017284036638174046
0.14435148239135742,0.07958,-0.0003198261589607869,-0.023999999999999997,0.007770117925273608,-0.105,-0.405230852524201,0.002579818948803661
0.16510725021362305,0.07916,-0.00048110092256939017,-0.026999999999999996,0.011596201672724267,-0.105,-0.405230852524201,0.0038260837474506596
0.18572616577148438,0.07874,-0.0007202020256512221,-0.029999999999999995,0.017157719141338405,-0.105,-0.405230852524201,0.005561517468614137
0.20635509490966797,0.07782,-0.0010741473979907483,-0.032999999999999995,0.025153269510243183,-0.105,-0.405230852524201,0.007995550368904779
0.22710657119750977,0.07739,-0.0015961148737942538,-0.036,0.03644620451666946,-0.105,-0.405230852524201,0.011292935006426277
0.24849605560302734,0.07685,-0.0023756803969438595,-0.039,0.05226514928874243,-0.105,-0.405230852524201,0.01581894477207297
0.2727692127227783,0.0756,-0.0036443205775167457,-0.042,0.07554272924590977,-0.105,-0.405230852524201,0.023277579957167338
0.2934246063232422,0.07495,-0.005204685383744285,-0.045000000000000005,0.10045038664969914,-0.105,-0.405230852524201,0.024907657403789377
0.31418704986572266,0.07425,-0.007290280865378997,-0.04800000000000001,0.12828115582977548,-0.105,-0.405230852524201,0.027830769180076334
0.33545446395874023,0.0729,-0.010018489326741748,-0.05100000000000001,0.15702444500625587,-0.105,-0.405230852524201,0.02874328917648039
0.356292724609375,0.07214,-0.013290605640303373,-0.05400000000000001,0.1826957958684415,-0.105,-0.405230852524201,0.025671350862185638
0.37963318824768066,0.07138,-0.017554810220642047,-0.057000000000000016,0.20582903767489755,-0.105,-0.405230852524201,0.02313324180645604
0.4004981517791748,0.06975,-0.021849425585451318,-0.06000000000000002,0.22110171316590813,-0.105,-0.405230852524201,0.015272675491010579
0.4212620258331299,0.06881,-0.026440353710741937,-0.06300000000000001,0.23164309583306966,-0.105,-0.405230852524201,0.010541382667161536
0.4420638084411621,0.06781,-0.03125894303291303,-0.06600000000000002,0.23860304015657713,-0.105,-0.405230852524201,0.0069599443235074665
0.4628441333770752,0.06561,-0.036217191738063426,-0.06900000000000002,0.2430257972626465,-0.105,-0.405230852524201,0.004422757106069375
0.4835693836212158,0.06452,-0.04125396220211356,-0.07200000000000002,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.5040347576141357,0.06338,-0.046227576033021155,-0.07500000000000002,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.5246541500091553,0.06226,-0.051238620308892126,-0.07800000000000003,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.5452072620391846,0.05981,-0.05623355674621849,-0.08100000000000003,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.5656850337982178,0.05851,-0.061210183554120036,-0.08400000000000003,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.5862207412719727,0.05716,-0.0662008902352818,-0.08700000000000004,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.6066713333129883,0.05455,-0.07117091167054276,-0.09000000000000004,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.627368688583374,0.05313,-0.0762009029363565,-0.09300000000000004,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.6480197906494141,0.05167,-0.08121965348030816,-0.09600000000000004,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.6684646606445312,0.05024,-0.08618828431080267,-0.09900000000000005,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.6891834735870361,0.04717,-0.09122349034449055,-0.10200000000000005,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.7097446918487549,0.04556,-0.09622039680523603,-0.10500000000000005,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.7306528091430664,0.04388,-0.10130160867994702,-0.10800000000000005,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.751375675201416,0.04043,-0.10633779972534446,-0.11100000000000006,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.7716612815856934,0.03866,-0.1112677253898397,-0.11400000000000006,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.792090892791748,0.03685,-0.11623264794095704,-0.11700000000000006,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.8127944469451904,0.03504,-0.12126414569526775,-0.12000000000000006,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.8333728313446045,0.03131,-0.12626522397031256,-0.12300000000000007,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.853996753692627,0.02941,-0.13127736914162363,-0.12600000000000006,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.8745238780975342,0.02751,-0.13626598991563574,-0.12900000000000006,0.2430257972626465,-0.105,-0.405230852524201,0.0
0.8950154781341553,0.02349,-0.14124597735172287,-0.13200000000000006,0.2430257972626465,-0.105,-0.405230852524201,0.0
