time,x_speed,y_speed,x_camera,x_pred,y_camera,y_pred,x_final,y_final
0.13052892684936523,-0.17532514659481618,0.015,0,-0.16718955733686347,0,-0.01766889589006502,-0.16718955733686347,-0.01766889589006502
0.23085641860961914,-0.17532514659481618,0.015,0,-0.1735572618823614,0,-0.01766889589006502,-0.1735572618823614,-0.01766889589006502
0.32235026359558105,-0.17532514659481618,0.015,0,-0.17833066126633546,0,-0.017478895890064995,-0.17833066126633546,-0.017478895890064995
0.41619133949279785,-0.17532514659481618,0.015,0,-0.1794209799195375,0,-0.01697889589006494,-0.1794209799195375,-0.01697889589006494
0.5321896076202393,-0.17532514659481618,0.015,0,-0.17836349651227854,0,-0.016228895890065022,-0.17836349651227854,-0.016228895890065022
0.6229887008666992,-0.17532514659481618,0.015,0,-0.1707412976286497,0,-0.015118895890064966,-0.1707412976286497,-0.015118895890064966
0.725416898727417,-0.17532514659481618,0.015,0,-0.1629416384805288,0,-0.013818895890064999,-0.1629416384805288,-0.013818895890064999
0.8230433464050293,-0.17532514659481618,0.015,0,-0.14951082301207447,0,-0.012128895890064918,-0.14951082301207447,-0.012128895890064918
0.935387134552002,-0.17532514659481618,0.015,0,-0.14044248572488688,0,-0.010658895890064947,-0.14044248572488688,-0.010658895890064947
1.0241150856018066,-0.17532514659481618,0.014898375379546698,0,-0.12733610567141435,0,-0.009078895890064921,-0.12733610567141435,-0.009078895890064921
1.1237683296203613,-0.17532514659481618,0.013702348812613603,0,-0.11881283358918093,0,-0.00766889589006501,-0.11881283358918093,-0.00766889589006501
1.2144255638122559,-0.17532514659481618,0.011096804983835131,-0.12630411201394956,-0.1065994777301397,-0.007539026737745881,-0.006208895890064993,-0.10856994115852069,-0.006341908974833082
1.3362338542938232,-0.17532514659481618,0.010993768714763265,-0.11620138427906707,-0.1193271671619789,-0.006261750250968557,-0.006309026737745816,-0.11870201058539653,-0.006299571440390365
1.423210859298706,-0.17532514659481618,0.007216216869974975,-0.10577204791618007,-0.10243360457912162,-0.004659489143921052,-0.005001750250968629,-0.10343513758023916,-0.004899071918854356
1.5246038436889648,-0.17532514659481618,0.0037132198996597545,-0.09534353154341373,-0.09719999608221667,-0.003383051990266039,-0.003709489143921046,-0.09645741026669549,-0.003578914282459043
1.6139519214630127,-0.17532514659481618,0.0015816111545341055,-0.08459004652288417,-0.08182098706590327,-0.002433278123125893,-0.002603051990266036,-0.08320551679439372,-0.0025181650566959645
1.7339036464691162,-0.17532514659481618,0.001155673552130602,-0.08459004652288417,-0.07783035172694186,-0.002433278123125893,-0.002093278123125886,-0.08053422964531878,-0.0022292781231258887
1.821213722229004,-0.14381797518035402,0.0,-0.06341132509007086,-0.06419397033942201,-0.0015103629159006985,-0.0019432781231259024,-0.06380264771474643,-0.0017268205195133004
1.9232914447784424,-0.13374189811563247,0.0,-0.05396181461119744,-0.05489332788023581,-0.0008830556696636706,-0.001400362915900644,-0.054334419918812785,-0.00108997856815846
2.0221500396728516,-0.1176016292722295,0.0,-0.04353739818903435,-0.04684479450383279,-0.001235738282971145,-0.0009430556696637307,-0.04452961708347388,-0.0011479334989789205
2.128807783126831,-0.10718963715318175,0.0,-0.03702080544123637,-0.037234347438492674,-0.0009267009920255181,-0.001235738282971145,-0.03706351384068763,-0.0009885084502146435
2.2239341735839844,-0.0975351365930528,0.0,-0.030830001331322243,-0.031510547878312936,-0.00061682436795755,-0.0008667009920254581,-0.030898055986021314,-0.0006418120303643409
2.316767930984497,-0.09311323299973563,0.0,-0.027246326314599716,-0.025962613431398898,-0.0006260570323033243,-0.00065682436795759,-0.027246326314599716,-0.0006260570323033243
2.4146738052368164,-0.09124079452047114,0.0,-0.025290774497175865,-0.02542227140146039,-0.0003052690776448926,-0.0006560570323032987,-0.025290774497175865,-0.0003052690776448926
2.535240888595581,-0.08728403352886956,0.0,-0.022683645403984258,-0.024309182868052163,1.3840210768851363e-05,-0.00023526907764487813,-0.022683645403984258,1.3840210768851363e-05
2.6272103786468506,-0.0876903841354418,0.0,-0.022683645403984258,-0.017894843254736153,1.3840210768851363e-05,-4.615978923120864e-05,-0.022204765189059446,7.840210768845363e-06
2.72292160987854,-0.046601072498675705,0.0,0,-0.017580133594682905,0,-1.615978923112313e-05,-0.003516026718936581,-3.231957846224626e-06
2.8146045207977295,-0.08808538950848864,0.0,-0.01779681583572628,-0.0152475548696787,1.2502139337018658e-06,5.3840210768780344e-05,-0.017541889739121526,6.509213617209714e-06
2.930335521697998,-0.08323392242416824,0.0,-0.01779681583572628,-0.022120157283031964,1.2502139337018658e-06,-8.874978606622161e-05,-0.01866148412518742,-1.674978606628283e-05
3.0214459896087646,-0.08622220372576467,0.0,-0.020078976281154647,-0.019694933345663558,-0.0006445223609948762,-3.8749786066227115e-05,-0.02004057198760554,-0.0005839451035020112
3.118114471435547,-0.08156627301063794,0.0,-0.018124244453851447,-0.01930225063380052,-0.0006495583597289356,-0.0006645223609948962,-0.018124244453851447,-0.0006495583597289356
3.2129459381103516,-0.08143463763079865,0.0,-0.017472667178083698,-0.015844274998990757,-0.0006512370259736232,-0.0006795583597289101,-0.017472667178083698,-0.0006512370259736232
3.338336229324341,-0.08012806563296936,0.0,-0.01649448127431146,-0.018855170592190072,-0.000327931071948161,-0.0006512370259736232,-0.01649448127431146,-0.000327931071948161
