time,error,x_speed,p_term,i_term,d_term
1751833147.4991076,-0.12423526385550027,-0.14119366887976154,-0.43482342349425096,-0.0001863528957832504,0.0
1751833147.6104891,-0.11802361528730362,-0.14119366887976154,-0.41308265350556267,-0.0021582005362930606,0.016730732265168923
1751833147.704437,-0.11181196671910695,-0.14119366887976154,-0.3913418835168743,-0.0037338752455343513,0.01983540685822079
1751833147.8003104,-0.10919605941348037,-0.14119366887976154,-0.3821862079471813,-0.005304224145022832,0.00818550873288613
1751833147.8943331,-0.10396506755325738,-0.14119366887976154,-0.3638777364364008,-0.006770486391642387,0.016690615237321797
1751833148.0035064,-0.0990617840133891,-0.14119366887976154,-0.34671624404686185,-0.008392721639865987,0.013473853868088888
1751833148.104049,-0.09317619826348683,-0.14119366887976154,-0.3261166939222039,-0.009797947460344259,0.01756147827146737
1751833148.1972406,-0.08631077855664107,-0.14119366887976154,-0.30208772494824376,-0.011004463699661265,0.022100976789017943
1751833148.2942855,-0.07944618160082545,-0.14119366887976154,-0.2780616356028891,-0.01216094124542596,0.02122087958079773
1751833148.4107804,-0.07258076189397968,-0.14119366887976154,-0.25403266662892887,-0.013429234470219402,0.01767996725731019
1751833148.5056472,-0.06636911332578302,-0.14119366887976154,-0.23229189664024058,-0.014373667808587186,0.019643284068495734
1751833148.59378,-0.059505339120997564,-0.14119366887976154,-0.2082686869234915,-0.015160324151502895,0.023363956436980696
1751833148.700387,-0.05296680498347634,-0.14119366887976154,-0.1853838174421672,-0.016007318662889822,0.018399926569507098
1751833148.805413,-0.04577449970730604,-0.14119366887976154,-0.16021074897557114,-0.01672844559982257,0.02054435516188848
1751833148.8965194,-0.039563673890139525,-0.13529064559558127,-0.13847285861548833,-0.01726912127245948,0.020451334292366532
1751833149.0031035,-0.032699076934323903,-0.1129170305119303,-0.11444676927013367,-0.01779190138855914,0.019321640146762492
1751833149.093795,-0.026487428366127254,-0.09031062267883369,-0.09270599928144539,-0.01815222934409125,0.020547605946702952
1751833149.2053113,-0.020930373687609832,-0.07680910914089874,-0.07325630790663441,-0.018502340821801026,0.014949539587536692
1751833149.301873,-0.01864217470233797,-0.07691094140474665,-0.06524761145818289,-0.018772358750902704,0.00710902880433895
1751833149.4008982,-0.01766151799436433,-0.07787908289260219,-0.06181531298027515,-0.019034699184744,0.0029709292724169546
1751833149.493943,-0.017660695243334176,-0.08109096504435644,-0.06181243335166962,-0.019281184451582306,2.652758895478244e-06
1751833149.6027265,-0.017333809674009597,-0.07933088740498231,-0.060668333859033585,-0.01956402928139567,0.0009014757354469347
1751833149.7025564,-0.016352330215005803,-0.07409259774670059,-0.05723315575252031,-0.019808897034804936,0.0029494550406246565
1751833149.801749,-0.015371673507032134,-0.07087255143371839,-0.053800857274612465,-0.020037610518587694,0.00296591635948178
1751833178.0162635,-0.13143826489506255,-0.14651404179283817,-0.46003392713271896,-0.0001971573973425938,0.0
