part_number,part_rotation,distance_traveled,time_ident_stop,time_speed_est_start,time_speed_est_stop,time_catch_start,time_catch_stop
1,24.543718973795578,0.76403,0.31461,0.31461,2.58863,2.58863,10.53897
1,-22.213228861490894,0.59308,0.29178,0.29178,2.49967,2.49967,8.25451
2,-22.58928680419922,0.5741799999999999,0.3027,0.3027,1.9012,1.9012,7.73772
2,24.46229998270671,0.58477,0.30928,0.30928,1.80937,1.80937,7.78662
0,-25.102333068847656,0.5809799999999999,0.31438,0.31438,2.3063,2.3063,8.02566
0,35.8187510172526,0.59087,0.30826,0.30826,2.30383,2.30383,7.91677
1,-13.983301798502609,0.7427199999999999,0.31253,0.31253,2.51773,2.51773,10.22123
1,-11.744598388671875,0.7690600000000001,0.32727,0.32727,2.49715,2.49715,10.528
2,-18.185529073079422,0.59683,0.3124,0.3124,1.98637,1.98637,7.89828
2,-21.87013753255208,0.71464,0.30813,0.30813,1.817,1.817,9.6017
0,-31.207426706949864,0.6053,0.29915,0.29915,2.28328,2.28328,8.0032
0,-24.72927347819011,0.69912,0.2988,0.2988,2.29765,2.29765,9.68475
1,11.144580841064453,0.77803,0.31626,0.31626,2.60278,2.60278,10.6905
1,-20.074216206868485,0.74063,0.29986,0.29986,2.30794,2.30794,10.00469
2,8.605333964029953,0.60972,0.30172,0.30172,1.98572,1.98572,7.89814
2,-23.722345987955734,0.62248,0.30031,0.30031,1.78328,1.78328,7.91314
0,-20.307540893554688,0.7383599999999999,0.2822,0.2822,2.19947,2.19947,9.86907
0,-21.871177673339847,0.61344,0.31591,0.31591,2.1966,2.1966,7.96279
1,-18.434951782226562,0.76853,0.30843,0.30843,2.39759,2.39759,10.49
1,-28.84955088297526,0.76915,0.30709,0.30709,2.60954,2.60954,10.62308
2,-21.53730010986328,0.75709,0.31029,0.31029,1.81367,1.81367,10.20807
2,7.499965508778886,0.6695,0.32643,0.32643,2.01506,2.01506,8.99879
0,-30.32584889729818,0.72012,0.29183,0.29183,2.31293,2.31293,9.89705
0,-23.718584696451828,0.71578,0.3013,0.3013,2.30956,2.30956,9.78318
1,-31.815259297688804,0.75433,0.29721,0.29721,2.5982,2.5982,10.48994
1,-0.40857696533203125,0.7545900000000001,0.30845,0.30845,2.70562,2.70562,10.43551
2,-19.607643127441406,0.59144,0.32649,0.32649,1.82814,1.82814,7.7509
2,-1.3220647176106723,0.59456,0.30277,0.30277,2.10579,2.10579,7.92711
0,-27.01314926147461,0.60459,0.30892,0.30892,2.30824,2.30824,8.10642
0,-1.6405410766601562,0.72928,0.31937,0.31937,2.51239,2.51239,10.11167
1,-15.618687947591143,0.7706900000000001,0.3132,0.3132,2.59552,2.59552,10.63249
1,12.921839396158859,0.7608699999999999,0.28903,0.28903,2.57937,2.57937,10.49084
2,1.683230221271515,0.68169,0.30648,0.30648,2.09682,2.09682,9.11117
2,-25.52376810709636,0.6843199999999999,0.30266,0.30266,1.90108,1.90108,9.13421
0,25.02109082539876,0.6867699999999999,0.31634,0.31634,2.41215,2.41215,9.60823
0,9.159524917602539,0.59906,0.3082,0.3082,2.39933,2.39933,8.01491
1,-22.29939778645833,0.74761,0.29474,0.29474,2.40372,2.40372,10.21208
1,16.82203197479248,0.7682,0.29696,0.29696,2.48023,2.48023,10.4955
2,14.460218747456864,0.59859,0.33106,0.33106,2.01498,2.01498,7.90183
2,-19.93433380126953,0.58582,0.31027,0.31027,1.91986,1.91986,7.68364
0,-32.963934580485024,0.5777599999999999,0.29898,0.29898,2.20294,2.20294,7.8065
0,-31.61250178019206,0.5791200000000001,0.30504,0.30504,2.32556,2.32556,8.01365
1,4.9086809158325195,0.59672,0.30474,0.30474,2.71486,2.71486,8.45637
1,36.142374674479164,0.5818099999999999,0.28993,0.28993,2.39682,2.39682,8.01601
2,-18.673683166503906,0.58029,0.30575,0.30575,1.80868,1.80868,7.71159
2,-20.99118550618489,0.5828,0.30222,0.30222,1.90663,1.90663,7.79789
0,2.8615070978800508,0.58472,0.29782,0.29782,2.50532,2.50532,8.22262
0,-19.947642008463546,0.59419,0.2977,0.2977,2.3985,2.3985,8.27657
1,-25.623146057128906,0.57744,0.3151,0.3151,2.50848,2.50848,8.09917
1,-34.96836853027344,0.57894,0.30488,0.30488,2.49958,2.49958,8.00783
2,-20.9073486328125,0.58245,0.30431,0.30431,1.99917,1.99917,7.78555
2,-16.599131266276046,0.58064,0.28038,0.28038,1.88243,1.88243,7.695
0,-14.570429484049484,0.5871,0.29161,0.29161,2.1802,2.1802,7.99351
0,-25.820148468017578,0.59463,0.28924,0.28924,2.19683,2.19683,8.06238
1,-35.79520161946615,0.58263,0.29556,0.29556,2.58006,2.58006,8.18355
1,9.814123789469406,0.58794,0.29632,0.29632,2.47651,2.47651,8.09337
2,28.452154795328774,0.5935,0.30896,0.30896,1.90111,1.90111,7.91831
2,18.592199325561523,0.58975,0.30674,0.30674,1.81596,1.81596,7.72956
0,-11.094607035319015,0.58226,0.30386,0.30386,2.41281,2.41281,7.99215
0,-24.33364613850911,0.56677,0.29379,0.29379,2.29797,2.29797,7.88789
1,-24.72147623697917,0.57957,0.2965,0.2965,2.3044,2.3044,7.89659
1,-23.145380655924484,0.59429,0.30268,0.30268,2.50403,2.50403,8.22054
2,-23.44146728515625,0.58765,0.30333,0.30333,1.90312,1.90312,7.89955
2,34.757399241129555,0.5804100000000001,0.30603,0.30603,1.69579,1.69579,7.63188
0,-25.57431538899739,0.5890599999999999,0.28523,0.28523,2.40074,2.40074,8.08996
0,13.216179211934403,0.57924,0.29008,0.29008,2.19471,2.19471,7.92739
1,21.12412516276042,0.58528,0.30826,0.30826,2.40568,2.40568,7.99924
1,-16.649060567220047,0.58906,0.30265,0.30265,2.49956,2.49956,8.19674
2,-32.87576421101888,0.5766899999999999,0.30028,0.30028,1.88278,1.88278,7.90482
2,-28.347643534342446,0.5863,0.28924,0.28924,1.89941,1.89941,7.89147
0,-20.73886362711589,0.58633,0.31022,0.31022,2.31011,2.31011,8.0126
0,14.37475713094075,0.5754900000000001,0.31086,0.31086,2.40631,2.40631,8.01306
1,-26.565048217773438,0.59023,0.30008,0.30008,2.39618,2.39618,8.08652
1,-6.45089467366536,0.5859,0.28506,0.28506,2.39854,2.39854,7.98768
2,18.314193725585938,0.58118,0.29202,0.29202,1.88739,1.88739,7.79851
2,-17.929334004720047,0.58704,0.30625,0.30625,1.81427,1.81427,7.7831
0,-50.315024058024086,0.57686,0.29775,0.29775,2.40262,2.40262,8.01356
0,28.498581886291504,0.56903,0.30526,0.30526,2.31321,2.31321,7.90589
1,-32.838812510172524,0.57067,0.3115,0.3115,2.41167,2.41167,7.90899
1,-30.26163991292318,0.58479,0.31429,0.31429,2.40309,2.40309,8.02323
2,-41.57440058390299,0.57235,0.29741,0.29741,1.99422,1.99422,7.78846
2,24.258876164754227,0.56978,0.30341,0.30341,1.90671,1.90671,7.62614
