time,error,x_speed,p_term,i_term,d_term,alpha
0.0,-0.17842592204376706,-0.20055227942184772,-0.303324067474404,-0.00044606480510941764,0.0,1
0.18551969528198242,-0.19400566526962768,-0.20055227942184772,-0.329809630958367,-0.00944403278105932,-0.0,1
0.3718552589416504,-0.19475899487205994,-0.20055227942184772,-0.3310902912825019,-0.01851666455287824,-0.0,1
0.5212998390197754,-0.17569495516678346,-0.20055227942184772,-0.29868142378353185,-0.025080829252064476,0.0,1
0.6497738361358643,-0.15599811459900387,-0.20055227942184772,-0.26519679481830655,-0.030091254583341408,0.0,1
0.8542811870574951,-0.14764959127518187,-0.20055227942184772,-0.2510043051678092,-0.03764011127742865,0.0,1
1.034834384918213,-0.12316497431961548,-0.20055227942184772,-0.20938045634334632,-0.043199568771888595,0.0,1
1.1040561199188232,-0.09555518034995228,-0.20055227942184772,-0.16244380659491886,-0.044853192614918574,0.0,0.9
1.2501473426818848,-0.12287985995075698,-0.20055227942184772,-0.20889576191628687,-0.049341109863208533,-0.0,0.8
1.490600824356079,-0.10168069634254123,-0.20055227942184772,-0.1728571837823201,-0.055453479226863674,0.0,0.7
1.6170716285705566,-0.06398627317383038,-0.1662532424791207,-0.10877666439551163,-0.057476578083609065,0.0,0.6
1.7163441181182861,-0.05851180715081112,-0.15839880343093737,-0.0994700721563789,-0.05892873127455848,0.0,0.5
1.80094313621521,-0.05188448692898896,-0.14822970321600348,-0.08820362777928123,-0.06002607543672227,0.0,0.4
1.8967788219451904,-0.04393040812130488,-0.13576029443961635,-0.0746816938062183,-0.06107860063339806,0.0,0.3
2.012458324432373,-0.03801196027836051,-0.12679823427000175,-0.06462033247321287,-0.062177901796788886,0.0,0.2
2.1204135417938232,-0.03179165809957854,-0.11708173940617764,-0.054045818769283514,-0.06303592063689412,0.0,0.1
2.2067031860351562,-0.028542920945169938,-0.1121746258671748,-0.04852296560678889,-0.06365166026038592,0.0,0.0
2.3081653118133545,-0.02463345729056353,-0.10615337838983567,-0.041876877393958,-0.06427650099587767,0.0,0
2.387442111968994,-0.022677905473139685,-0.10327839824525079,-0.038552439304337466,-0.06472595894091332,0.0,0
2.497337818145752,-0.020723173645836486,-0.10052470108934354,-0.03522939519792202,-0.06529530589142152,0.0,0
2.5849556922912598,-0.0197458077321849,-0.09929570046033084,-0.03356787314471433,-0.06572782731561651,0.0,0
2.7354066371917725,-0.018116044552644907,-0.09720649706031415,-0.03079727573949634,-0.06640922132081781,0.0,0
2.952113151550293,-0.01713949862911395,-0.09647492924175351,-0.029137147669493716,-0.0673377815722598,0.0,0
3.247789144515991,-0.015509735449573958,-0.09485079594395754,-0.02636655026427573,-0.06848424567968181,0.0,0
