time,error,x_speed,p_term,i_term,d_term
0.0,-0.15358222246938014,-0.16558378738839008,-0.24573155595100823,-0.0003071644449387603,0.0
0.09623861312866211,-0.16016396197352673,-0.16558378738839008,-0.2562623391576428,-0.003389955959643558,-0.0034194900000000072
0.1968390941619873,-0.1660580044963863,-0.16558378738839008,-0.2656928071942181,-0.006731058985997665,-0.0029294305863741847
0.2888491153717041,-0.16913587658586765,-0.16558378738839008,-0.27061740253738825,-0.00984349810439561,-0.0016725743832109383
0.4048953056335449,-0.17159321518016124,-0.16558378738839008,-0.274549144288258,-0.013826045883683205,-0.001058776073884448
0.4955735206604004,-0.1693343964326408,-0.16558378738839008,-0.2709350342922253,-0.016897034045915565,0.0012455134603451632
0.5968706607818604,-0.16632778102674747,-0.16558378738839008,-0.26612444964279597,-0.020266739754067155,0.0014840573989987607
0.6896729469299316,-0.16072051405916477,-0.16558378738839008,-0.25715282249466365,-0.0232497859811839,0.0030210823463098727
0.7990274429321289,-0.15416754948601985,-0.16558378738839008,-0.24666807917763178,-0.0266215689159714,0.0029962026312174883
0.8930721282958984,-0.14207078033895754,-0.16558378738839008,-0.22731324854233206,-0.029293769283243898,0.0064313943420999335
0.9930644035339355,-0.13435769841418527,-0.16558378738839008,-0.21497231746269643,-0.03198071567527998,0.003856838894009989
1.0840866565704346,-0.12335269209490085,-0.16558378738839008,-0.19736430735184138,-0.03422628366579906,0.006045228475541864
1.198439598083496,-0.11799326689439082,-0.16558378738839008,-0.18878922703102533,-0.036924859095420925,0.002343370065341899
1.298499584197998,-0.10353692094407344,-0.16558378738839008,-0.1656590735105175,-0.038996839669821384,0.0072238396744201605
1.3954007625579834,-0.09432340154056812,-0.16558378738839008,-0.150917442464909,-0.04082484942106201,0.004754080166743346
1.488264560699463,-0.08521752941153649,-0.16558378738839008,-0.13634804705845838,-0.042407574110939705,0.004902810519961014
1.5993695259094238,-0.07731932915968456,-0.1642822263241858,-0.12371092665549531,-0.04412568638620856,0.003554386717518103
1.693664789199829,-0.06701036227299854,-0.14713969520898004,-0.10721657963679768,-0.04538943833695214,0.005466322764769764
1.7982425689697266,-0.060035565567319454,-0.13936727923266923,-0.09605690490771113,-0.04664511556780421,0.0033347412428461087
1.8899257183074951,-0.050469074080428306,-0.12310391866249036,-0.0807505185286853,-0.04757054829897517,0.005217148165170122
2.0041534900665283,-0.04522098485315726,-0.11866001881876091,-0.07235357576505162,-0.0486036467662802,0.002297203712570899
2.0980780124664307,-0.03870208158235809,-0.10778370398496309,-0.06192333053177295,-0.049330661671981205,0.003470288218791063
2.1891109943389893,-0.03405499043384553,-0.10188625014162471,-0.05448798469415285,-0.04995068713734809,0.002552421689876229
2.2872235774993896,-0.03223893392141829,-0.10124009420082267,-0.051582294274269275,-0.050583296154421656,0.0009254962278682628
2.4029364585876465,-0.03653297773916857,-0.11173700131435654,-0.05845276438266971,-0.05142876337620812,-0.0018554735554787158
2.501803159713745,-0.02465242483960664,-0.08535173467269763,-0.03944387974337063,-0.05191622415993832,0.006008369230611318
2.589430332183838,-0.02083384789319226,-0.08343662583554001,-0.03333415662910762,-0.052281346396448804,0.0021788771900164102
2.6911425590515137,-0.020994094406269426,-0.08637774312419151,-0.03359055105003108,-0.05270841761507518,-7.877445908525937e-05
2.8025739192962646,-0.020324945884457195,-0.08538104686611686,-0.03251991341513152,-0.053161384888436386,0.00030025143745104324
2.8968698978424072,-0.018688239264019052,-0.08254715686980006,-0.029901182822430483,-0.0535138300501774,0.0008678560028078193
2.990792989730835,-0.017558860112551138,-0.08133661721990815,-0.028094176180081823,-0.05384366653653884,0.0006012254967125211
3.0938305854797363,-0.016992210516038404,-0.08110639841301183,-0.027187536825661447,-0.0541938338401452,0.0002749722527948134
3.2055084705352783,-0.016115278088254824,-0.07994560594874127,-0.02578444494120772,-0.05455377787494085,0.00039261686740729615
3.2971620559692383,-0.006142252232850946,-0.05905336465212995,-0.009827603572561515,-0.05466636976289695,0.005440608683328509
3.3967397212982178,-0.013717752369194341,-0.08069178480180944,-0.021948403790710946,-0.05493956611379404,-0.0038038148973044577
3.490183115005493,-0.01501481182362001,-0.0799379068866747,-0.02402369891779202,-0.05522017310832908,-0.0006940348605535937
